제목,저자,번역,출간일,페이지,판매가
1000개 숨은그림찾기 탈것 : 찾아도 찾아도 끝판왕,이한이,-,2021-11-02,96,7200
UX/UI 디자이너를 위한 실무 피그마,클레어 정,-,2021-11-01,352,21600
머신러닝 디자인 패턴,"발리아파 락슈마난 , 세라 로빈슨 , 마이클 먼","맹윤호 , 임지순",2021-11-01,460,34200
소프트웨어 아키텍처 101,"마크 리처즈 , 닐 포드",이일웅,2021-11-01,472,28800
혼자 공부하는 SQL,우재남,-,2021-11-01,444,21600
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍),-,2021-10-29,556,26000
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던",김학래,2021-10-29,544,45000
똑똑한 두뇌 연습 : 놀이공원 미로찾기,권나영,-,2021-10-28,76,6750
한 권으로 다지는 머신러닝&딥러닝 with 파이썬,"알베르토 아르타산체스 , 프라틱 조시",여인춘,2021-10-21,680,36000
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원,-,2021-10-15,552,28000
살아 움직이는 머신러닝 파이프라인 설계,"하네스 하프케 , 캐서린 넬슨",송호연,2021-10-11,416,28800
그로킹 심층 강화학습,미겔 모랄레스,강찬석,2021-10-10,500,31500
소문난 명강의 : 시험장에 몰래 가져갈 이경오의 SQL+SQLD 비밀노트,이경오,-,2021-10-10,556,28800
1000개 숨은그림찾기 바다 동물,이한이,-,2021-10-08,96,7200
1000개 숨은그림찾기 아이스크림,김확실,-,2021-10-08,96,7200
심리 읽어드립니다,"김경일 , 사피엔스 스튜디오",-,2021-10-08,332,15750
한번에 적용하는 분석,히든그레이스 데이터분석팀,-,2021-10-08,356,24000
탐험! 숲체험 생물 도감,이치니치 잇슈,박현숙,2021-10-06,132,11700
깍두기 가계부 2022,쓰담여사,-,2021-10-01,192,13320
미국 주식으로 시작하는 슬기로운 퀀트투자,"김용환 , Yubin Kim",-,2021-09-30,416,28800
제대로 배우는 수학적 최적화,우메타니 슌지,김모세,2021-09-30,424,34200
