순위,제목,가수,앨범,좋아요
55,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1,0
56,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고,0
57,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,0
58,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,0
59,Permission to Dance,방탄소년단,Butter / Permission to Dance,0
60,Dreams Come True,aespa,Dreams Come True - SM STATION,0
61,Savage,aespa,Savage - The 1st Mini Album,0
62,걷고 싶다,임영웅,사랑의 콜센타 PART39,0
63,DAYDREAM,하이라이트 (Highlight),DAYDREAM,0
64,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,0
65,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light,0
66,내 생에 아름다운,이예준,내 생에 아름다운,0
67,문득,BE'O (비오),Bipolar,0
68,봄날,방탄소년단,YOU NEVER WALK ALONE,0
69,Blueming,아이유,Love poem,0
70,Celebrity,아이유,IU 5th Album 'LILAC',0
71,니 소식2,송하예,니 소식2 X 송하예,0
72,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져,0
73,내 손을 잡아,아이유,최고의 사랑 OST Part.4,0
74,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3,0
75,고백,멜로망스,세 번째 '고백',0
76,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,0
77,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,0
78,Bad Habits,Ed Sheeran,=,0
79,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),0
80,My Universe,Coldplay,My Universe,0
81,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,0
82,헤픈 우연,헤이즈 (Heize),HAPPEN,0
83,Off My Face,Justin Bieber,Justice (The Complete Edition),0
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,0
85,서랍,10CM,그 해 우리는 OST Part.1,0
86,나는 트로트가 싫어요,임창정,별거 없던 그 하루로,0
87,북극성 (Never Goodbye),NCT DREAM,Glitch Mode - The 2nd Album,0
88,마지막 너의 인사,헤이즈 (Heize),우리들의 블루스 OST Part 2,0
89,우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2,0
90,"아주, 천천히",비비 (BIBI),스물다섯 스물하나 OST Part 3,0
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,0
92,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle),0
93,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,0
94,롤린 (Rollin'),브레이브걸스,Rollin',0
95,O.O,NMIXX,AD MARE,0
96,겨울잠,아이유,조각집,0
97,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,0
98,D-DAY,휘인 (Whee In),D-DAY,0
99,언덕나무,이승윤,그 해 우리는 OST Part.7,0
100,Can't Control Myself,태연 (TAEYEON),Can't Control Myself,0
